"Thank you for your purchase!","Merci pour votre achat!"
"The payment has been cancelled","Le paiement a été annulé."
"PAY. - order has been shipped, but no invoice was found. Capturing the payment automatically.","PAY. -La commande a été expédiée mais aucune facture n'a été trouvée. Le paiement sera automatiquement capturé."
"On","Activé"
"Off","Désactivé"
"Auto capture","Capture automatique"
"Automatically capture transactions in the state AUTHORIZE when a shipment is created for the order.","Capture automatiquement une transaction d'autorisation lors de la création de l'expédition pour la commande."
"Pay. - performed auto-capture. Result: ","PAY. - Capture automatique effectuée. Résultat: "
"All of them","Tous"
"Custom","Personnalisé"
"Only available with IP address","Uniquement disponible avec l'adresse IP"
"Add a comma between IP addresses for multiple inputs.","Ajoutez une virgule entre les adresses IP pour plusieurs entrées."
"Only available with useragent","Uniquement disponible avec l'agent utilisateur"
"Custom useragent","Agent utilisateur personnalisé"
"Add a comma between useragents for multiple inputs.","Ajoutez une virgule entre les agents utilisateurs pour plusieurs entrées."
"Show COC field","Afficher le champ Chambre de Commerce"
"When enabled, an extra field is added to the checkout for customers to enter their COC number.","Si cette méthode est choisie, le client peut également saisir son Chambre de Commerce avant de continuer."
"Show VAT field","Afficher le champ de numéro de TVA"
"When enabled, an extra field is added to the checkout for customers to enter their VAT number.","Si cette méthode est choisie, le client peut également saisir son numéro de TVA avant de continuer."
"Show date of birth field","Afficher le champ de la date de naissance"
"When enabled, a datepicker is added to the checkout for customers to enter their date of birth.","Si cette méthode est choisie, le client peut également saisir sa date de naissance avant de continuer."
"Yes, optional","Oui, comme optionnel"
"Yes, required","Oui, comme requis"
"Yes, optional for business customers","Optionnel pour les clients professionnels"
"Yes, required for business customers","Requis pour les clients professionnels"
"COC number","Numéro de Chambre de Commerce"
"VAT-ID","Numéro de TVA"
"Date of birth","Date de naissance"
"VAT-ID","Numéro de TVA invalide"
"VAT-ID","Veuillez entrer un numéro de TVA valide."
"Invalid date of birth","Date de naissance invalide"
"Enter a valid date of birth","Veuillez entrer une date de naissance valide."
"Invalid COC number","Numéro de Chambre de Commerce invalide"
"Enter a valid COC number","Veuillez entrer un numéro de Chambre de Commerce valide."
"Payment terms","Conditions de paiement"
"You must first agree to the payment terms.","Vous devez d'abord accepter les conditions de paiement."
"If you have a feature request or other ideas, let us know!","Si vous avez une demande de fonctionnalité ou d'autres idées, faites-le nous savoir !"
"Your submission will be reviewed by our development team.","Votre demande sera examinée par notre équipe de développement."
"If needed, we will contact you for further information via the e-mail address provided.","Si nécessaire, nous vous contacterons pour de plus amples informations via l'adresse électronique fournie."
"Please note: this form is not for Support requests, please contact support@pay.nl for this.","Remarque: ce formulaire n'est pas destiné aux demandes d'assistance. Pour les questions d'assistance, veuillez contacter support@pay.nl."
"Email","E-mail"
"Message","Message"
"Leave your suggestions here...","Laissez nous vos remarques et/ou suggestions…..."
"Sent! Thank you for your contribution.",Envoyé ! Merci pour votre contribution."
"Email could not be sent, please try again later.","E-mail sans mot de passe. Il sera examiné plus tard."
"Suggestions?","Suggestions?"
"Pay. - Suggestions?","Pay. - Suggestions?"
"Submit", "Soumettre"
"Please fill in your message.","Veuillez remplir votre message."
"Please fill in a valid email.","Veuillez remplir un email valide."
"Success", "Succès"
"Error", "Erreur"
