"Sometimes Magento incorrectly marks an order as fraudulent. This happens more often when using different currencies. Set this setting to Yes to skip fraud detection.","Sometimes Magento incorrectly marks an order as fraudulent. This happens more often when using different currencies. Set this setting to Yes to skip fraud detection."
"Retrieve your AT-code <a target='_blank' href='https://my.pay.nl/company/tokens'>here</a>. Not registered with Pay? Sign up <a target='_blank' href='https://signup.pay.nl/'>here</a>!", "Retrieve your AT-code <a target='_blank' href='https://my.pay.nl/company/tokens'>here</a>. Not registered with Pay? Sign up <a target='_blank' href='https://signup.pay.nl/'>here</a>!"
"Your API-token, you can find your tokens <a target='_blank' href='https://my.pay.nl/company/tokens'>here</a>", "Your API-token, you can find your tokens <a target='_blank' href='https://my.pay.nl/company/tokens'>here</a>"
"The SL-code of your sales location, you can find your sales locations  <a target='_blank' href='https://my.pay.nl/programs/programs'>here</a>.", "The SL-code of your sales location, you can find your sales locations  <a target='_blank' href='https://my.pay.nl/programs/programs'>here</a>.",
"URL of the payment option icons. Default URL: https://static.pay.nl/payment_profiles/50x32/#paymentOptionId#.png","URL of the payment option icons. Default URL: https://static.pay.nl/payment_profiles/50x32/#paymentOptionId#.png"
"Send discount tax","Send discount tax"
"Set this to No if you have a mix of low and high VAT rate products. Some Buy Now Pay Later payment methods have trouble processing payments when the discount has a tax amount other than the default VAT categories.","Set this to No if you have a mix of low and high VAT rate products. Some Buy Now Pay Later payment methods have trouble processing payments when the discount has a tax amount other than the default VAT categories."
"Paylink is only available for orders created via the backend and won't appear in the checkout","Paylink is only available for orders created via the backend and won't appear in the checkout"
"Thank you for your order from ","Thank you for your order from "
"If you have questions about your order, you can email us at ","If you have questions about your order, you can email us at "
"In order to pay for your order click the link below","In order to pay for your order click the link below"
"Pay. paylink","Pay. paylink"
"Paylink order","Paylink order"
"A Pay. paylink has been sent to","A Pay. Paylink has been sent to"
"Pay: here is your","Pay: here is your"
"Open or copy the link to share","Open or copy the link to share"
"Billing Info","Billing Info"
"Shipping Info","Shipping Info"
"Payment Method","Payment Method"
"Shipping Method","Shipping Method"
"Your Order","Your Order"
"Placed on","Placed on"
"Qty","Qty"
"Items","Items"
"Price","Price"
"Subtotal","Subtotal"
"Shipping & Handling","Shipping & Handling"
"Grand Total","Grand Total"
"Offline refund","Offline refund"
"This will create an offline refund that is not processed in Pay. To create an online refund (processed via Pay.), open an invoice and create a credit memo. Do you want to continue?","This will create an offline refund that is not processed in Pay. To create an online refund (processed via Pay.), open an invoice and create a credit memo. Do you want to continue?"
"Thank you for your purchase!","Thank you for your purchase!"
"The payment has been cancelled","The payment has been cancelled"
"Pay. - order has been shipped, but no invoice was found. Capturing the payment automatically.","Pay. - order has been shipped, but no invoice was found. Capturing the payment automatically."
"On","On"
"Off","Off"
"On - via Wuunder","On - via Wuunder"
"On - via Sherpa","On - via Sherpa"
"Auto capture","Auto capture"
"Automatically capture transactions in the state AUTHORIZE when a shipment is created for the order.","Automatically capture transactions in the state AUTHORIZE when a shipment is created for the order."
"Pay. - performed auto-capture. Result: ","Pay. - performed auto-capture. Result: "
"All of them","All of them"
"Custom","Custom"
"Only available with IP address","Only available with IP address"
"Add a comma between IP addresses for multiple inputs.","Add a comma between IP addresses for multiple inputs."
"Only available with useragent","Only available with useragent"
"Custom useragent","Custom useragent"
"Add a comma between useragents for multiple inputs.","Add a comma between useragents for multiple inputs."
"Show COC field","Show COC field"
"When enabled, an extra field is added to the checkout for customers to enter their COC number.","When enabled, an extra field is added to the checkout for customers to enter their COC number."
"Show VAT field","Show VAT field"
"When enabled, an extra field is added to the checkout for customers to enter their VAT number.","When enabled, an extra field is added to the checkout for customers to enter their VAT number."
"Show date of birth field","Show date of birth field"
"When enabled, a datepicker is added to the checkout for customers to enter their date of birth.","When enabled, a datepicker is added to the checkout for customers to enter their date of birth."
"Optional","Optional"
"Required","Required"
"Optional for business customers","Optional for business customers"
"Required for business customers","Required for business customers"
"COC number","COC number"
"VAT number","VAT number"
"Date of birth","Date of birth"
"Invalid VAT number","Invalid VAT number"
"Enter a valid VAT number","Enter a valid VAT number"
"Invalid date of birth","Invalid date of birth"
"Enter a valid date of birth","Enter a valid date of birth"
"Invalid COC number","Invalid COC number"
"Enter a valid COC number","Enter a valid COC number"
"Payment terms","Payment terms"
"You must first agree to the payment terms.","You must first agree to the payment terms."
"Dropdown","Dropdown"
"List with logos","List with logos"
"Instore pickup address","Instore pickup address"
"Select how to process shipping address in case of instore pickup.","Select how to process shipping address in case of instore pickup."
"Transfer analytics to Pay.","Transfer analytics to Pay."
"Don't transfer analytics to Pay.","Don't transfer analytics to Pay."
"Disable","Disable"
"Select whether you want to use Pay. as Google Analytics proxy.","Select whether you want to use Pay. as Google Analytics proxy."
"Set which product data to use as product ID in the Pay. backend.","Set which product data to use as product ID in the Pay. backend."
"Leave shipping address unchanged (Default)","Leave shipping address unchanged (Default)"
"Use billing address as shipping address","Use billing address as shipping address"
"Check version","Check version"
"You are up to date with the latest version","You are up to date with the latest version"
"There is a new version available (","There is a new version available ("
"Pay. transaction-ID: ","Pay. transaction-ID: "
"Pay. - this payment has been flagged as possibly fraudulent. Please verify this transaction in My.pay.nl.","Pay. - This payment has been flagged as possibly fraudulent. Please verify this transaction in My.pay.nl."
"Select whether you want to use the Pay. thank you page when transaction is pending.","Select whether you want to use the Pay. thank you page when transaction is pending."
"Automatically void transactions in the state AUTHORIZE when cancelling an order.","Automatically void transactions in the state AUTHORIZE when cancelling an order."
"Use your own exchange-handler. Example: https://www.yourdomain.nl/exchange_handler?action=#action#&order_id=#order_id#","Use your own exchange-handler. Example: https://www.yourdomain.nl/exchange_handler?action=#action#&order_id=#order_id#"
"If you have a feature request or other ideas, let us know!","If you have a feature request or other ideas, let us know!"
"Your submission will be reviewed by our development team.","Your submission will be reviewed by our development team."
"If needed, we will contact you for further information via the e-mail address provided.","If needed, we will contact you for further information via the e-mail address provided."
"Please note: this form is not for Support requests, please contact support@pay.nl for this.","Please note: this form is not for Support requests, please contact support@pay.nl for this."
"Email","Email"
"Message","Message"
"Leave your suggestions here...","Leave your suggestions here..."
"Sent! Thank you for your contribution.","Sent! Thank you for your contribution."
"Email could not be sent, please try again later.","Email could not be sent, please try again later."
"Suggestions?","Suggestions?"
"Pay. - Suggestions?","Pay. - Suggestions?"
"Submit","Submit"
"Please fill in your message.","Please fill in your message."
"Please fill in a valid email.","Please fill in a valid email."
"Success","Success"
"Error", "Error"
"Leave this empty unless advised otherwise by Pay. Support","Leave this empty unless advised otherwise by Pay. Support"
"Test IP address","Test IP address
"Forces testmode on these IP addresses, separate IP's by comma's for multiple IP's","Forces testmode on these IP addresses, separate IP's by comma's for multiple IP's"
"Enable additional validation","Enable additional validation"
"Enable this to also apply the validation of other activated (third party) modules during the payment process.","Enable this to also apply the validation of other activated (third party) modules during the payment process."
"Set Pay. loglevel","Set Pay. loglevel"
"Select whether you want Pay. style applied to your checkout.","Select whether you want Pay. style applied to your checkout.",
"Enable this to start a card machine transaction via the Order detail page after making an order with the Instore option via the Magento2 backend.","Enable this to start a card machine transaction via the Order detail page after making an order with the Instore option via the Magento2 backend."
"Payment has been cancelled","Payment has been cancelled"
"Setup","Setup"
"Payment Methods","Payment Methods"
"Settings","Settings"
"Pay. - General Settings","Pay. - General Settings"
"Pay. - Setup","Pay. - Setup"
"Pay. - Layout Settings","Pay. - Layout Settings"
"Pay. - Advanced Settings","Pay. - Advanced Settings"
"Pay. - Settings have been moved to their own tab, click", "Pay. - Settings have been moved to their own tab, click"
"here", "here"
"to go to the new settings page.", "to go to the new settings page."
"Pay.: unable to send e-mail", "Pay.: unable to send e-mail"
"Pay.: customer e-mail is empty, cannot send e-mail", "Pay.: customer e-mail is empty, cannot send e-mail"
"Payment pending","Payment pending"
"Your payment is pending","Your payment is pending"
"Pay. successfully connected","Pay. successfully connected"
"Pay. connection failed","Pay. connection failed"
"Pay. not connected","Pay. not connected"
"Token code, API token and SL-code are required","Token code, API token and SL-code are required"
"SL-code, API token or token code invalid","SL-code, API token or token code invalid"
"SL-code is invalid","SL-code is invalid"
"SL-code / API token combination invalid","SL-code / API token combination invalid"
"No logging","No logging"
"Only Critical errors are logged","Only Critical errors are logged"
"Only Critical errors and Notices are logged","Only Critical errors and Notices are logged"
"Everything is logged, including Critical, Notice, Info and Debug","Everything is logged, including Critical, Notice, Info and Debug"
"PAY. - Refund initiated from Pay.","PAY. - Refund initiated from Pay."
"Set to `on` to accept refunds initiated from Pay.","Set to `on` to accept refunds initiated from Pay."
"You are up to date with the latest version","You are up to date with the latest version"
"Enter your COC number","Enter your COC number"
"Enter your VAT number","Enter your VAT number"
"We are experiencing technical issues. Please check ","We are experiencing technical issues. Please check "
" for the latest updates."," for the latest updates."
"You can set your failover gateway under ","You can set your failover gateway under "
"settings","settings"
".","."
"Show company field","Show company field"
"When enabled, in case company isn't already entered, an extra field is added to the payment method for customers to enter their company name.","When enabled, in case company isn't already entered, an extra field is added to the payment method for customers to enter their company name."
"Company","Company"
"Enter your company name","Enter your company name"
"Invalid company","Invalid company"
"Enter a valid company name","Enter a valid company name"
"Pin moment","Pin moment"
"Pin right now","Pin right now"
"Pin at the store at pickup","Pin at the store at pickup"
"Allow customers to choose to pay when picking up the order at the store. 'Start Pay. Pin' button will be visible in the order view.","Allow customers to choose to pay when picking up the order at the store. 'Start Pay. Pin' button will be visible in the order view."
"Pay.: Order was created for payment at moment of pick up at the store","Pay.: Order was created for payment at moment of pick up at the store"
"Only provide direct payment option (default)","Only provide direct payment option (default)"
"Only use payment when instore pickup is selected","Only use payment when instore pickup is selected"
"Provide option to customer","Provide option to customer"
